20150201 183600;1.130280;1.130280;1.130200;1.130210;0
20150201 183700;1.130210;1.130250;1.130090;1.130110;0
20150201 183800;1.130110;1.130130;1.130040;1.130120;0
20150201 183900;1.130120;1.130230;1.130120;1.130230;0
20150201 184000;1.130220;1.130300;1.130220;1.130290;0
20150201 184100;1.130300;1.130450;1.130300;1.130450;0
20150201 184200;1.130440;1.130460;1.130440;1.130460;0
20150201 184300;1.130470;1.130630;1.130470;1.130630;0
20150201 184400;1.130620;1.130650;1.130620;1.130630;0
20150201 184500;1.130640;1.130640;1.130610;1.130640;0
20150201 184600;1.130690;1.130900;1.130690;1.130900;0
20150201 184700;1.130890;1.130900;1.130720;1.130840;0
20150201 184800;1.130810;1.130840;1.130510;1.130510;0
20150201 184900;1.130510;1.130510;1.130380;1.130380;0
20150201 185000;1.130380;1.130440;1.130380;1.130400;0
20150201 185100;1.130410;1.130430;1.130390;1.130410;0
20150201 185200;1.130420;1.130480;1.130420;1.130480;0
20150201 185300;1.130480;1.130650;1.130480;1.130640;0
20150201 185400;1.130630;1.130630;1.130580;1.130600;0
20150201 185500;1.130610;1.130650;1.130610;1.130650;0
20150201 185600;1.130650;1.130740;1.130650;1.130740;0
20150201 185700;1.130740;1.130740;1.130700;1.130730;0
20150201 185800;1.130790;1.130840;1.130720;1.130770;0
20150201 185900;1.130760;1.130770;1.130710;1.130720;0
20150201 190000;1.130720;1.130720;1.130310;1.130310;0
20150201 190100;1.130300;1.130600;1.130130;1.130590;0
20150201 190200;1.130540;1.130740;1.130510;1.130710;0
20150201 190300;1.130740;1.130750;1.130600;1.130610;0
20150201 190400;1.130610;1.130610;1.130510;1.130520;0
20150201 190500;1.130510;1.130570;1.130510;1.130520;0
20150201 190600;1.130530;1.130530;1.130520;1.130520;0
20150201 190700;1.130520;1.130520;1.130520;1.130520;0
20150201 190800;1.130520;1.130540;1.130500;1.130540;0
20150201 190900;1.130540;1.130540;1.130420;1.130420;0
20150201 191000;1.130430;1.130550;1.130420;1.130520;0
20150201 191100;1.130520;1.130550;1.130520;1.130530;0
20150201 191200;1.130530;1.130730;1.130530;1.130730;0
20150201 191300;1.130710;1.130730;1.130710;1.130730;0
20150201 191400;1.130720;1.130740;1.130720;1.130730;0
20150201 191500;1.130720;1.130730;1.130620;1.130630;0
20150201 191600;1.130630;1.130630;1.130600;1.130620;0
20150201 191700;1.130620;1.130620;1.130570;1.130610;0
20150201 191800;1.130620;1.130640;1.130510;1.130530;0
20150201 191900;1.130530;1.130660;1.130530;1.130660;0
20150201 192000;1.130640;1.130640;1.130540;1.130640;0
20150201 192100;1.130640;1.130650;1.130630;1.130640;0
20150201 192200;1.130620;1.130650;1.130620;1.130640;0
20150201 192300;1.130650;1.130680;1.130630;1.130650;0
20150201 192400;1.130640;1.130640;1.130640;1.130640;0
20150201 192500;1.130650;1.130740;1.130640;1.130720;0
20150201 192600;1.130700;1.130700;1.130620;1.130630;0
20150201 192700;1.130650;1.130660;1.130650;1.130650;0
20150201 192800;1.130630;1.130760;1.130630;1.130760;0
20150201 192900;1.130800;1.130850;1.130800;1.130850;0
20150201 193000;1.130840;1.130850;1.130760;1.130800;0
20150201 193100;1.130800;1.130830;1.130790;1.130830;0
20150201 193200;1.130830;1.130840;1.130810;1.130830;0
20150201 193300;1.130850;1.130860;1.130850;1.130850;0
20150201 193400;1.130830;1.130960;1.130830;1.130940;0
20150201 193500;1.130950;1.130970;1.130940;1.130950;0
20150201 193600;1.130960;1.130960;1.130780;1.130840;0
20150201 193700;1.130830;1.130900;1.130780;1.130820;0
20150201 193800;1.130830;1.130830;1.130710;1.130740;0
20150201 193900;1.130720;1.130770;1.130620;1.130740;0
20150201 194000;1.130740;1.130760;1.130720;1.130720;0
20150201 194100;1.130730;1.130730;1.130660;1.130660;0
20150201 194200;1.130700;1.130940;1.130700;1.130930;0
20150201 194300;1.130930;1.130970;1.130910;1.130920;0
20150201 194400;1.130920;1.130930;1.130910;1.130930;0
20150201 194500;1.130940;1.130940;1.130930;1.130940;0
